id,text,label,review_text,is_ai,date
185,AI sample 177,AI-generated,Explain the concept of reinforcement learning with an example.,1,09/23/2025
186,AI sample 178,AI-generated,Describe how natural language processing enhances chatbots.,1,09/07/2025
187,AI sample 179,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,11/06/2024
188,AI sample 180,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,06/18/2025
189,AI sample 181,AI-generated,Create an overview of generative AI tools used today.,1,07/21/2025
190,AI sample 182,AI-generated,Summarize how neural networks are trained.,1,09/20/2025
191,AI sample 183,AI-generated,Explain the significance of large language models.,1,03/19/2025
192,AI sample 184,AI-generated,Generate a paragraph on the importance of ethical AI.,1,05/07/2025
193,AI sample 185,AI-generated,Create an overview of generative AI tools used today.,1,06/08/2025
194,AI sample 186,AI-generated,Explain the concept of reinforcement learning with an example.,1,07/01/2025
195,AI sample 187,AI-generated,Describe how natural language processing enhances chatbots.,1,01/05/2025
196,AI sample 188,AI-generated,Write a blog post about the role of data in machine learning.,1,12/16/2024
197,AI sample 189,AI-generated,Create an overview of generative AI tools used today.,1,07/25/2025
198,AI sample 190,AI-generated,Discuss the future of AI in healthcare and medicine.,1,03/27/2025
199,AI sample 191,AI-generated,Explain the significance of large language models.,1,07/10/2025
200,AI sample 192,AI-generated,Explain the significance of large language models.,1,05/15/2025
201,AI sample 193,AI-generated,Write a blog post about the role of data in machine learning.,1,01/28/2025
202,AI sample 194,AI-generated,Write a blog post about the role of data in machine learning.,1,07/06/2025
203,AI sample 195,AI-generated,Write a blog post about the role of data in machine learning.,1,01/07/2025
204,AI sample 196,AI-generated,Describe how natural language processing enhances chatbots.,1,01/31/2025
205,AI sample 197,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,05/21/2025
206,AI sample 198,AI-generated,Explain the concept of reinforcement learning with an example.,1,10/07/2025
207,AI sample 199,AI-generated,Explain the concept of reinforcement learning with an example.,1,11/23/2024
208,AI sample 200,AI-generated,Create an overview of generative AI tools used today.,1,01/23/2025
209,AI sample 201,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,10/18/2025
210,AI sample 202,AI-generated,Explain the concept of reinforcement learning with an example.,1,12/08/2024
211,AI sample 203,AI-generated,Summarize how neural networks are trained.,1,10/12/2025
212,AI sample 204,AI-generated,Describe the process of computer vision in self-driving cars.,1,12/28/2024
213,AI sample 205,AI-generated,Describe how natural language processing enhances chatbots.,1,12/08/2024
214,AI sample 206,AI-generated,Describe the process of computer vision in self-driving cars.,1,06/28/2025
215,AI sample 207,AI-generated,Create an overview of generative AI tools used today.,1,09/04/2025
216,AI sample 208,AI-generated,Discuss the future of AI in healthcare and medicine.,1,02/04/2025
217,AI sample 209,AI-generated,Create an overview of generative AI tools used today.,1,10/06/2025
218,AI sample 210,AI-generated,Discuss the future of AI in healthcare and medicine.,1,11/26/2024
219,AI sample 211,AI-generated,Summarize how neural networks are trained.,1,05/26/2025
220,AI sample 212,AI-generated,Describe the process of computer vision in self-driving cars.,1,11/07/2024
221,AI sample 213,AI-generated,Create an overview of generative AI tools used today.,1,02/03/2025
222,AI sample 214,AI-generated,Describe how natural language processing enhances chatbots.,1,05/13/2025
223,AI sample 215,AI-generated,Generate a paragraph on the importance of ethical AI.,1,08/15/2025
224,AI sample 216,AI-generated,Describe the process of computer vision in self-driving cars.,1,10/15/2025
225,AI sample 217,AI-generated,Generate a paragraph on the importance of ethical AI.,1,11/09/2024
226,AI sample 218,AI-generated,Create an overview of generative AI tools used today.,1,03/14/2025
227,AI sample 219,AI-generated,Summarize how neural networks are trained.,1,09/05/2025
228,AI sample 220,AI-generated,Explain the significance of large language models.,1,06/27/2025
229,AI sample 221,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,01/24/2025
230,AI sample 222,AI-generated,Explain the concept of reinforcement learning with an example.,1,04/14/2025
231,AI sample 223,AI-generated,Describe the process of computer vision in self-driving cars.,1,10/31/2024
232,AI sample 224,AI-generated,Describe the process of computer vision in self-driving cars.,1,09/04/2025
233,AI sample 225,AI-generated,Create an overview of generative AI tools used today.,1,03/05/2025
234,AI sample 226,AI-generated,Write a blog post about the role of data in machine learning.,1,03/18/2025
235,AI sample 227,AI-generated,Describe how natural language processing enhances chatbots.,1,05/06/2025
236,AI sample 228,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,04/28/2025
237,AI sample 229,AI-generated,Write a blog post about the role of data in machine learning.,1,09/20/2025
238,AI sample 230,AI-generated,Explain the concept of reinforcement learning with an example.,1,11/26/2024
239,AI sample 231,AI-generated,Discuss the future of AI in healthcare and medicine.,1,06/25/2025
240,AI sample 232,AI-generated,Explain the significance of large language models.,1,06/20/2025
241,AI sample 233,AI-generated,Create an overview of generative AI tools used today.,1,04/19/2025
242,AI sample 234,AI-generated,Discuss the future of AI in healthcare and medicine.,1,09/28/2025
243,AI sample 235,AI-generated,Explain the concept of reinforcement learning with an example.,1,06/20/2025
244,AI sample 236,AI-generated,Write a blog post about the role of data in machine learning.,1,02/22/2025
245,AI sample 237,AI-generated,Explain the significance of large language models.,1,02/23/2025
246,AI sample 238,AI-generated,Write a blog post about the role of data in machine learning.,1,10/05/2025
247,AI sample 239,AI-generated,Write a blog post about the role of data in machine learning.,1,12/09/2024
248,AI sample 240,AI-generated,Discuss the future of AI in healthcare and medicine.,1,08/04/2025
249,AI sample 241,AI-generated,Describe the process of computer vision in self-driving cars.,1,12/24/2024
250,AI sample 242,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,07/07/2025
251,AI sample 243,AI-generated,Discuss the future of AI in healthcare and medicine.,1,11/02/2024
252,AI sample 244,AI-generated,Generate a paragraph on the importance of ethical AI.,1,08/04/2025
253,AI sample 245,AI-generated,Create an overview of generative AI tools used today.,1,05/24/2025
254,AI sample 246,AI-generated,Summarize how neural networks are trained.,1,12/14/2024
255,AI sample 247,AI-generated,Write a blog post about the role of data in machine learning.,1,05/18/2025
256,AI sample 248,AI-generated,Describe how natural language processing enhances chatbots.,1,12/28/2024
257,AI sample 249,AI-generated,Generate a paragraph on the importance of ethical AI.,1,11/20/2024
258,AI sample 250,AI-generated,Generate a paragraph on the importance of ethical AI.,1,07/31/2025
259,AI sample 251,Human-written,Reflect on the challenges of learning a new coding language.,0,03/30/2025
260,AI sample 252,Human-written,Describe how technology has changed your daily routine.,0,12/21/2024
261,AI sample 253,Human-written,Narrate an experience where technology solved a real-life problem.,0,08/29/2025
262,AI sample 254,Human-written,Share your opinion on the benefits of online education.,0,03/28/2025
263,AI sample 255,Human-written,Describe your thoughts on balancing technology and privacy.,0,06/30/2025
264,AI sample 256,Human-written,Describe your thoughts on balancing technology and privacy.,0,02/10/2025
265,AI sample 257,Human-written,Write a personal essay about your first programming experience.,0,06/21/2025
266,AI sample 258,Human-written,Write a personal essay about your first programming experience.,0,04/24/2025
267,AI sample 259,Human-written,Write a personal essay about your first programming experience.,0,07/26/2025
268,AI sample 260,Human-written,Discuss how social media affects communication.,0,12/27/2024
269,AI sample 261,Human-written,Explain why teamwork is essential in software projects.,0,04/10/2025
270,AI sample 262,Human-written,Share your opinion on the benefits of online education.,0,04/16/2025
271,AI sample 263,Human-written,Share your opinion on the benefits of online education.,0,12/01/2024
272,AI sample 264,Human-written,Describe your thoughts on balancing technology and privacy.,0,03/06/2025
273,AI sample 265,Human-written,Narrate an experience where technology solved a real-life problem.,0,03/23/2025
274,AI sample 266,Human-written,Share your opinion on the benefits of online education.,0,08/18/2025
275,AI sample 267,Human-written,Narrate an experience where technology solved a real-life problem.,0,10/14/2025
276,AI sample 268,Human-written,Narrate an experience where technology solved a real-life problem.,0,10/26/2024
277,AI sample 269,Human-written,Narrate an experience where technology solved a real-life problem.,0,12/26/2024
278,AI sample 270,Human-written,Describe how technology has changed your daily routine.,0,01/06/2025
279,AI sample 271,Human-written,Write an editorial on the importance of cybersecurity.,0,06/12/2025
280,AI sample 272,Human-written,Describe your thoughts on balancing technology and privacy.,0,12/27/2024
281,AI sample 273,Human-written,Write a personal essay about your first programming experience.,0,07/10/2025
282,AI sample 274,Human-written,Explain why teamwork is essential in software projects.,0,07/18/2025
283,AI sample 275,Human-written,Write an editorial on the importance of cybersecurity.,0,06/09/2025
284,AI sample 276,Human-written,Explain why teamwork is essential in software projects.,0,06/29/2025
285,AI sample 277,Human-written,Explain why teamwork is essential in software projects.,0,10/25/2024
286,AI sample 278,Human-written,Share your opinion on the benefits of online education.,0,10/24/2024
287,AI sample 279,Human-written,Write a personal essay about your first programming experience.,0,04/20/2025
288,AI sample 280,Human-written,Write an editorial on the importance of cybersecurity.,0,04/28/2025
289,AI sample 281,Human-written,Write about your journey as a beginner web developer.,0,11/03/2024
290,AI sample 282,Human-written,Narrate an experience where technology solved a real-life problem.,0,10/21/2024
291,AI sample 283,Human-written,Narrate an experience where technology solved a real-life problem.,0,07/28/2025
292,AI sample 284,Human-written,Discuss how social media affects communication.,0,06/05/2025
293,AI sample 285,Human-written,Write an editorial on the importance of cybersecurity.,0,03/22/2025
294,AI sample 286,Human-written,Explain why teamwork is essential in software projects.,0,06/26/2025
295,AI sample 287,Human-written,Describe your thoughts on balancing technology and privacy.,0,04/06/2025
296,AI sample 288,Human-written,Write a personal essay about your first programming experience.,0,04/09/2025
297,AI sample 289,Human-written,Explain why teamwork is essential in software projects.,0,03/27/2025
298,AI sample 290,Human-written,Explain why teamwork is essential in software projects.,0,10/14/2025
299,AI sample 291,Human-written,Share your opinion on the benefits of online education.,0,02/16/2025
300,AI sample 292,Human-written,Write a personal essay about your first programming experience.,0,10/23/2024
301,AI sample 293,Human-written,Write about your journey as a beginner web developer.,0,09/06/2025
302,AI sample 294,Human-written,Write about your journey as a beginner web developer.,0,11/05/2024
303,AI sample 295,Human-written,Write a personal essay about your first programming experience.,0,10/20/2024
304,AI sample 296,Human-written,Describe your thoughts on balancing technology and privacy.,0,10/15/2025
305,AI sample 297,Human-written,Write a personal essay about your first programming experience.,0,06/15/2025
306,AI sample 298,Human-written,Explain why teamwork is essential in software projects.,0,03/07/2025
307,AI sample 299,Human-written,Reflect on the challenges of learning a new coding language.,0,10/24/2024
308,AI sample 300,Human-written,Share your opinion on the benefits of online education.,0,06/17/2025
309,AI sample 301,Human-written,Discuss how social media affects communication.,0,01/13/2025
310,AI sample 302,Human-written,Reflect on the challenges of learning a new coding language.,0,10/11/2025
311,AI sample 303,Human-written,Write a personal essay about your first programming experience.,0,10/10/2025
312,AI sample 304,Human-written,Narrate an experience where technology solved a real-life problem.,0,12/09/2024
313,AI sample 305,Human-written,Describe your thoughts on balancing technology and privacy.,0,01/18/2025
314,AI sample 306,Human-written,Explain why teamwork is essential in software projects.,0,06/05/2025
315,AI sample 307,Human-written,Describe how technology has changed your daily routine.,0,05/08/2025
316,AI sample 308,Human-written,Discuss how social media affects communication.,0,07/18/2025
317,AI sample 309,Human-written,Write an editorial on the importance of cybersecurity.,0,08/11/2025
318,AI sample 310,Human-written,Describe your thoughts on balancing technology and privacy.,0,06/29/2025
319,AI sample 311,Human-written,Explain why teamwork is essential in software projects.,0,09/26/2025
320,AI sample 312,Human-written,Share your opinion on the benefits of online education.,0,10/02/2025
321,AI sample 313,Human-written,Discuss how social media affects communication.,0,06/16/2025
322,AI sample 314,Human-written,Discuss how social media affects communication.,0,03/22/2025
323,AI sample 315,Human-written,Narrate an experience where technology solved a real-life problem.,0,01/17/2025
324,AI sample 316,Human-written,Write about your journey as a beginner web developer.,0,06/19/2025
325,AI sample 317,Human-written,Write an editorial on the importance of cybersecurity.,0,05/05/2025
326,AI sample 318,Human-written,Describe how technology has changed your daily routine.,0,11/10/2024
327,AI sample 319,Human-written,Discuss how social media affects communication.,0,04/23/2025
328,AI sample 320,Human-written,Write an editorial on the importance of cybersecurity.,0,05/13/2025
329,AI sample 321,Human-written,Explain why teamwork is essential in software projects.,0,09/04/2025
330,AI sample 322,Human-written,Write about your journey as a beginner web developer.,0,08/20/2025
